ProductID,Category,Colour,ProductTitle,ImageURL,Price,Condition
42419,Topwear,White,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,60,New
34009,Topwear,Black,Gini and Jony Girls Black Top,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg,20,New
40143,Topwear,Blue,Gini and Jony Girls Pretty Blossom Blue Top,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg,65,New
23623,Topwear,Pink,Doodle Kids Girls Pink I love Shopping Top,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg,40,Used
47154,Bottomwear,Black,Gini and Jony Girls Black Capris,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg,60,Used
25520,Topwear,White,Doodle Kids Girls City Chic White Top,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg,50,Used
31120,Topwear,Pink,Palm Tree Girls Pink Top,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg,40,New
31118,Topwear,Red,Gini and Jony Girls Red Top,http://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg,55,New
54923,Bottomwear,Olive,Do u speak Green Girls Olive 3/4 Pant,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg,50,Used
31127,Dress,Black,Gini and Jony Girls Black Dress,http://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg,65,New
47153,Bottomwear,Pink,Gini and Jony Girls Pink Capris,http://assets.myntassets.com/v1/images/style/properties/87321ab7962a30b2e9b01fa16997029c_images.jpg,100,Used
